ptrloc,strloc
0x000107a0,0x0e010414
0x000107a4,0x0e01043c
0x00010960,0x0e010448
0x00010964,0x0e010490
0x00010968,0x0e0104c4
0x0001096c,0x0e0104f4
0x0001097c,0x0e010528
0x00010980,0x0e010534
0x00010984,0x0e010574
0x00010b44,0x0e00d2dc
0x00010b60,0x0e010988
0x00010df0,0x0e010b78
0x00010e18,0x0e010ba8
0x00010ec4,0x0e010bcc
0x00010f58,0x0e010ed4
0x000110fc,0x0e010f6c
0x00011108,0x0e010f98
0x0001110c,0x0e010fc0
0x0001111c,0x0e010fe4
0x00011120,0x0e010ff0
0x00011124,0x0e01101c
0x0001154c,0x0e0112c0
0x00011558,0x0e0112dc
0x00011564,0x0e011314
0x0001158c,0x0e011330
0x00011594,0x0e011344
0x00011e8c,0x0e011b94
0x00011eb0,0x0e011bb8
0x00011eb4,0x0e011bd4
0x00011eb8,0x0e011be0
0x000120d8,0x0e011c04
0x00012240,0x0e011c10
0x000125b0,0x0e011c54
0x000128f8,0x0e0125ec
0x00012918,0x0e012620
0x00012b68,0x0e012640
0x00012d00,0x0e012650
0x00012d24,0x0e012660
0x00012d2c,0x0e012688
0x00012d30,0x0e0126c0
0x00013310,0x0e012d40
0x00013320,0x0e012d48
0x00013324,0x0e012d74
0x00013330,0x0e012dac
0x00013504,0x0e012dd0
0x0001350c,0x0e012e10
0x00013518,0x0e012e20
0x0001351c,0x0e012e54
0x00013524,0x0e012e64
0x00013694,0x0e012e84
0x000136a8,0x0e012eac
0x000136d8,0x0e012ec4
0x000136e0,0x0e012ef0
0x00013cb8,0x0e0136e4
0x00013cd0,0x0e013708
0x00013cd4,0x0e013738
0x00013cd8,0x0e01376c
0x00013eb4,0x0e01379c
0x00013ec8,0x0e0137c0
0x00013ee0,0x0e0137dc
0x00013ef0,0x0e0137f0
0x00013ef8,0x0e01381c
0x00013efc,0x0e013870
0x000140dc,0x0e01388c
0x000140ec,0x0e0138d4
0x000140fc,0x0e0138e0
0x00014100,0x0e013900
0x00014104,0x0e01393c
0x000142d0,0x0e013960
0x000142e8,0x0e013998
0x000142f0,0x0e0139c0
0x00014318,0x0e0139ec
0x00014320,0x0e013a08
0x00014328,0x0e013a1c
0x0001432c,0x0e013a38
0x00014330,0x0e013a3c
0x000143a4,0x0e013a54
0x000149d0,0x0e0143cc
0x000149dc,0x0e0143f8
